Date,Mouse #,Cage #,ZT,Sex,Group,Plated Volume (uL),Plated Beads Volume (uL),Bead Stock Conc (beads/uL),Well Bead Conc (beads/uL),Conversion Factor (Divide Cell Events by this to get conc per well),Counting Bead Events,Total Events,Monocyte/DC Events,MHCII(int) LY-6C+ Events,MHCII+ LY-6C(lo) Events,MHCII- LY-6C(lo) Events,Neutrophil Events,CD45R- (NK Precursor) Events,NK Cell Events,NKT Cell Events,T Cell Events,TCRgd Events,TCRb Events,CD8 Events,CD4 Events,CD-- Events,B Cell Events,Total CD45+ Events,,Monocyte/DC Cells,MHCII(int) LY-6C+ Cells,MHCII+ LY-6C(lo) Cells,MHCII- LY-6C(lo) Cells,Neutrophil Cells,CD45R- (NK Precursor) Cells,NK Cell Cells,NKT Cell Cells,T Cell Cells,TCRgd Cells,TCRb Cells,CD8 Cells,CD4 Cells,CD-- Cells,B Cell Cells,Total CD45+ Cells,,Major Grouping Total,Major Grouping Average,,% Adjustment for Day,,,Adjusted Cell Counts,Monocyte/DC Cells (Adjusted),MHCII(int) LY-6C+ Cells (Adjusted),MHCII+ LY-6C(lo) Cells (Adjusted),MHCII- LY-6C(lo) Cells (Adjusted),Neutrophil Cells (Adjusted),CD45R- (NK Precursor) Cells (Adjusted),NK Cell Cells (Adjusted),NKT Cell Cells (Adjusted),T Cell Cells (Adjusted),TCRgd Cells (Adjusted),TCRb Cells (Adjusted),CD8 Cells (Adjusted),CD4 Cells (Adjusted),CD-- Cells (Adjusted),B Cell Cells (Adjusted),Total CD45+ Cells (Adjusted)
9/6/2024,1,3xTg_7.4B,6,F,3-3xTg-9,140,15,980,105,73.62857143,7731,140776,2499,210,2146,63,193,772,11,57,386,5,316,121,152,43,692,1888,,4751.688009,399.3015134,4080.48118,119.790454,366.9771052,1467.908421,20.91579356,108.3818393,733.9542103,9.50717889,600.8537059,230.0737291,289.0182383,81.76173846,1315.793558,3589.910749,,7297.710516,1216.285086,,9/6/2024,0.651361243,,,3095.065407,260.08953,2657.867292,78.026859,239.0346633,956.1386531,13.62373729,70.59572957,478.0693266,6.192607857,391.3728166,149.8611101,188.2552789,53.25642757,857.0569274,2338.328727
9/6/2024,2,3xTg_7.4B,6,F,3-3xTg-9,140,15,980,105,92.6,9723,211832,3947,201,3540,88,240,1182,21,76,545,12,454,158,245,50,836,2490,,5967.386609,303.887689,5352.051836,133.0453564,362.8509719,1787.041037,31.74946004,114.9028078,823.9740821,18.1425486,686.3930886,238.8768898,370.4103672,75.59395248,1263.930886,3764.578834,,8564.794816,1427.465803,,9/13/2024,1.034805077,,,3886.924358,197.9406628,3486.119135,86.66058867,236.34706,1164.009271,20.68036775,74.84323567,536.7047821,11.817353,447.0898552,155.5951478,241.2709571,49.23897083,823.2755923,2452.100748
9/6/2024,3,3xTg_7.3B,18,F,3-3xTg-9,140,15,980,105,84.11428571,8832,118696,3489,160,3214,21,610,587,15,92,279,9,230,78,113,38,177,1268,,5807.099185,266.3043478,5349.388587,34.95244565,1015.285326,977.0040761,24.96603261,153.125,464.3682065,14.97961957,382.8125,129.8233696,188.0774457,63.24728261,294.5991848,2110.461957,,7759.442935,1293.240489,,9/18/2024,0.68616808,,,3782.519342,173.4603309,3484.384398,22.76666844,661.3175117,636.3825892,16.26190603,99.7396903,302.4714521,9.757143616,249.3492257,84.56191134,122.5063587,41.1968286,191.8904911,1374.673123
9/6/2024,4,Aged_37B,18,F,4-WT-18,140,15,980,105,37.55238095,3943,51792,1201,100,1018,30,102,695,6,22,327,4,283,180,88,8,213,1000,,4477.479077,372.8125793,3795.232057,111.8437738,380.2688308,2591.047426,22.36875476,82.01876744,1219.097134,14.91250317,1055.059599,671.0626427,328.0750697,29.82500634,794.0907938,3728.125793,,6975.323358,1162.553893,,11/13/2024,0.717345441,,,2916.456336,242.8356649,2472.067069,72.85069948,247.6923782,1687.707871,14.5701399,53.42384629,794.0726243,9.713426597,687.2249318,437.1041969,213.6953851,19.42685319,517.2399663,2428.356649
9/6/2024,5,6M_2B,6,F,1-WT-6,140,15,980,105,86.60952381,9094,140864,2777,195,2447,48,131,767,10,61,425,17,352,183,140,27,784,1798,,4488.88278,315.2078293,3955.454146,77.58961953,211.7550033,1239.817462,16.16450407,98.60347482,686.9914229,27.47965692,568.9905432,295.8104245,226.303057,43.64416099,1267.297119,2906.377832,,6769.694304,1128.282384,,11/15/2024,0.698582767,,,2923.884266,205.3141634,2576.429528,50.538871,137.9290021,807.5690429,10.52893146,64.2264819,447.479587,17.89918348,370.6183873,192.6794457,147.4050404,28.42811494,825.4682263,1893.101876
9/6/2024,6,6M_1B,18,F,1-WT-6,140,15,980,105,79.53333333,8351,138656,2936,143,2595,83,226,777,30,63,336,16,262,86,136,40,441,1737,,5168.147527,251.7183571,4567.89606,146.1022632,397.8206203,1367.728416,52.80804694,110.8968986,591.4501257,28.1642917,461.1902766,151.3830679,239.3964795,70.41072925,776.27829,3057.585918,,7097.401509,1182.900251,,11/20/2024,0.446580052,,,3366.330996,163.9595819,2975.350455,95.16535173,259.1249336,890.8852806,34.39711508,72.23394167,385.2476889,18.34512804,300.4014717,98.60506324,155.9335884,45.86282011,505.6375917,1991.592963
9/6/2024,7,Aged_36B,6,F,4-WT-18,140,15,980,105,80.01904762,8402,200688,2686,223,2234,128,515,684,18,35,297,10,251,140,87,24,921,2172,,4699.3811,390.1571055,3908.569388,223.9466794,901.0354677,1196.715068,31.49250179,61.23542014,519.6262795,17.49583433,439.1454416,244.9416806,152.2137586,41.99000238,1611.366341,3800.095215,,7824.13711,1304.022852,,11/22/2024,1.32090175,,,3060.994713,254.1332171,2545.890614,145.8701874,586.899582,779.4938138,20.5129951,39.88637936,338.4644192,11.39610839,286.0423206,159.5455174,99.14614298,27.35066013,1049.581583,2475.234742
9/6/2024,8,Aged_36B,6,F,4-WT-18,140,15,980,105,86.13333333,9044,219064,2478,310,1909,119,759,1228,20,67,597,7,505,204,261,38,976,2800,,4027.708978,503.869969,3102.863777,193.4210526,1233.668731,1995.975232,32.50773994,108.9009288,970.3560372,11.37770898,820.8204334,331.5789474,424.2260062,61.76470588,1586.377709,4551.083591,,7959.520124,1326.586687,,1/6/2025,1.595425957,,,2623.493526,328.2013692,2021.085206,125.9869772,803.5639975,1300.100908,21.17428188,70.93384431,632.0523143,7.41099866,534.6506176,215.9776752,276.3243786,40.23113558,1033.304956,2964.399464
9/6/2024,9,Aged_36B,6,F,4-WT-18,140,15,980,105,88.79047619,9323,68432,957,45,855,28,64,339,10,16,187,3,162,77,69,15,151,646,,1508.945618,70.95355572,1348.117559,44.14887912,100.9117237,534.5167864,15.76745683,25.22793092,294.8514427,4.730237048,255.4328006,121.4094176,108.7954521,23.65118524,238.0885981,1018.577711,,2183.792771,363.9654618,,1/7/2025,2.344616173,,,982.8686932,46.21639623,878.1115284,28.75686877,65.72998575,348.1635183,10.27031027,16.43249644,192.0548021,3.081093082,166.3790264,79.08138911,70.86514089,15.40546541,155.0816851,663.4620437
9/6/2024,10,Aged_36B,6,F,4-WT-18,140,15,980,105,82.95238095,8710,220136,2770,430,2148,59,1064,814,6,52,541,6,482,161,296,20,661,2658,,4674.971297,725.717566,3625.2124,99.57520092,1795.729047,1373.80023,10.12629162,87.76119403,913.053961,10.12629162,813.47876,271.7221584,499.5637199,33.7543054,1115.579793,4485.947187,,8597.221584,1432.870264,,1/8/2025,1.258489993,,,3045.095114,472.7042957,2361.322854,64.85942662,1169.668304,894.8402249,6.595873893,57.16424041,594.7279627,6.595873893,529.8685361,176.9892828,325.3964454,21.98624631,726.6454406,2921.972135
